LncRNA name,Cancer name,Expression pattern,Methods,Pubmed ID,No. of Transcript variants (lncRNAs),LncRNA aliases
ASAP1-IT1,Non Small Cell Lung Cancer,up-regulated,Western blot,29364481,1,ASAP1IT; HSPC054; ASAP1-IT; ASAP1IT1; DDEF1IT1; NCRNA00050
ASAP1-IT1,Cholangiocarcinoma,up-regulated,"qPCR, Western blot etc.",29653361,1,ASAP1IT; HSPC054; ASAP1-IT; ASAP1IT1; DDEF1IT1; NCRNA00050
ASB16-AS1,Cervical Cancer,up-regulated,"qRT-PCR, Western blot",32058219,2,C17orf65
ASB16-AS1,Non Small Cell Lung Cancer,up-regulated,"qRT-PCR, Western blot",32141556,2,C17orf65
ASB16-AS1,Hepatocellular Carcinoma,up-regulated,"qRT-PCR, Dual Luciferase Reporter Assay",31807066,2,C17orf65
AWPPH,Gastric Cancer,down-regulated,"qPCR, Western blot, Luciferase reporter assay, etc.",31489578,8,AGD2; MORRBID; LINC00978; MIR4435-1HG; lncRNA-AWPPH
"AWPPH ",Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, RIP, ChIP etc.",28428004,8,AGD2; MORRBID; LINC00978; MIR4435-1HG; lncRNA-AWPPH; MIR4435-2HG
"AWPPH",Colon Cancer,up-regulated,"qPCR, Western blot, other",31423271,8,AGD2; MORRBID; LINC00978; MIR4435-1HG; lncRNA-AWPPH; MIR4435-2HG
"AWPPH",Ovarian Cancer,up-regulated,qPCR,30896797,8,AGD2; MORRBID; LINC00978; MIR4435-1HG; lncRNA-AWPPH; MIR4435-2HG
"AWPPH",Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot",30953582,8,AGD2; MORRBID; LINC00978; MIR4435-1HG; lncRNA-AWPPH; MIR4435-2HG
"AWPPH",Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot",30942396,8,AGD2; MORRBID; LINC00978; MIR4435-1HG; lncRNA-AWPPH; MIR4435-2HG
B3GALT5-AS1,Colorectal Cancer,down-regulated,qPCR etc,32207329,2,C21orf88
B3GALT5-AS1,Colon Cancer,down-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.",30530918,2,C21orf88
B3GALT5-AS1,Gastric Cancer,up-regulated,qPCR,31338903,2,C21orf88
B4GALT1-AS1,Colon Cancer,up-regulated,RNA-seq,30912138,3,B4GALT1 antisense RNA 1;HSALNG0070760;HSALNG0070759;lnc-SPINK4-4;HSALNG0070762;NONHSAG052016.2
"BA318C17.1",Colorectal Cancer,down-regulated,"qPCR, STS-PCR, ISH etc.",16110499,3,BA318C17.1; NCRNA00186; MACROD2-AS1
BACE1-AS,Colon Cancer,down-regulated,qPCR etc.,25078450,1,BACE1AS; BACE1-AS1; NCRNA00177
BACE1-AS,Ovarian Cancer,up-regulated,"qPCR, Western blot, Northern blot, MTT assay etc.",26783004,1,BACE1AS; BACE1-AS1; NCRNA00177
"BAIAP2-AS1 ",Hepatocellular Carcinoma,up-regulated,"Microarray, qPCR, RNAi etc.",27285756,1,BAIAP2-AS1; lnc-BAIAP2; BAIAP2-DT
BANCR,Colorectal Cancer,up-regulated,"qPCR, Western blot, Luciferase assay",30144787,1,LINC00586
BANCR,Colorectal Cancer,up-regulated,qPCR etc.,28969673,1,LINC00586
BANCR,Colorectal Cancer,up-regulated,"Microarray, qPCR etc.",27591862,1,LINC00586
BANCR,Colorectal Cancer,up-regulated,"qPCR, RNAi, Cell transfection, Western blot, Luciferase reporter assay, Flow cytometry assay, Cell proliferation assay etc.",26296467,1,LINC00586
BANCR,Colorectal Cancer,up-regulated,"qPCR, Western blot etc.",25013510,1,LINC00586
BANCR,Colorectal Cancer,down-regulated,"qPCR, RNAi, Western blot etc.",25928067,1,LINC00586
BANCR,Pancreatic Cancer,up-regulated,"qPCR, Western blot etc.",31769353,1,LINC00586
BANCR,Gastric Adenocarcinoma,up-regulated,"qPCR, RNAi, Western blot, MTT assay etc.",26248136,1,LINC00586
BANCR,Gastric Cancer,up-regulated,"RNA-seq, Microarray, RT-qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",29483646,1,LINC00586
BANCR,Gastric Cancer,up-regulated,qPCR etc.,26054683,1,LINC00586
BANCR,Gastric Cancer,up-regulated,"Microarray, qPCR etc.",28042329,1,LINC00586
BANCR,Oral Squamous Cell Carcinoma,up-regulated,"qPCR, Western blot",31654433,1,LINC00586
BANCR,Non Small Cell Lung Cancer,down-regulated,PCR,30980423,1,LINC00586
BANCR,Non Small Cell Lung Cancer,up-regulated,"RT-PCR , Western blot etc.",31114383,1,LINC00586
BANCR,Lung Cancer,down-regulated,"qPCR, Western blot etc.",25661343,1,LINC00586
BANCR,Non Small Cell Lung Cancer,down-regulated,"qPCR, RNAi, Western blot etc.",24655544,1,LINC00586
BANCR,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot etc.",29085476,1,LINC00586
BANCR,Hepatocellular Carcinoma,down-regulated,qPCR etc.,29725471,1,LINC00586
BANCR,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, Flow cytometry assay, Cell proliferation assay etc.",26758762,1,LINC00586
BBOX1-AS1,Colorectal Cancer,up-regulated,"RT-qPCR, Western bolt",31984680,3,BBOX1 antisense RNA 1;HSALNG0083285;NONHSAG007888.2;BBOX1-AS1
BC200,Tongue Cancer,up-regulated,"Northern hybridization, ISH etc.",9422992,1,BC200; BC200a; LINC00004; NCRNA00004
"BC200 ",Hepatocellular Carcinoma,up-regulated,"RT-qPCR, Western blot analysis",31894342,1,BC200; BC200a; LINC00004; NCRNA00004; BCYRN1
BC200 (BCYRN1),Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot",30779077,1,BC200; BC200a; LINC00004; NCRNA00004
BC200 (BCYRN1),Non Small Cell Lung Cancer,up-regulated,"Microarray, qPCR, Cell proliferation assay etc.",25482516,1,BC200; BC200a; LINC00004; NCRNA00004
BC200 (BCYRN1),Lung Cancer,up-regulated,qPCR etc.,28651607,1,BC200; BC200a; LINC00004; NCRNA00004
BC200 (BCYRN1),Lung Cancer,up-regulated,"Northern hybridization, ISH etc.",9422992,1,BC200; BC200a; LINC00004; NCRNA00004
"BC200",Colon Cancer,up-regulated,"qPCR, Western blot etc.",29625226,1,BC200; BC200a; LINC00004; NCRNA00004; BCYRN1
"BC200",Ovarian Cancer,down-regulated,"qPCR, RNAi etc.",26893717,1,BC200; BC200a; LINC00004; NCRNA00004; BCYRN1
"BC200",Ovarian Cancer,up-regulated,"Northern hybridization, ISH etc.",9422992,1,BC200; BC200a; LINC00004; NCRNA00004; BCYRN1
"BC200",Cervical Cancer,up-regulated,"Northern hybridization, ISH etc.",9422992,1,BC200; BC200a; LINC00004; NCRNA00004; BCYRN1
BCAR4,Colorectal Cancer,up-regulated,"qPCR, Luciferase reporter assay, Western blot",30962766,5,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCAR4,Colorectal Cancer,up-regulated,qPCR etc.,27596298,5,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCAR4,Cervical Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown",29937186,5,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCAR4,Cervical Cancer,up-regulated,"qPCR, Western blot, etc.",29937186,5,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCAR4,Gastric Cancer,up-regulated,"qPCR, Western blot etc",32329841,5,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCAR4,Gastric Cancer,up-regulated,Western blot,29028095,5,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCAR4,Non Small Cell Lung Cancer,up-regulated,qPCR etc.,28077810,5,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCAR4,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot",28537678,5,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCAR4,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.",29615150,5,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCAR4,Liver Cancer,up-regulated,"qPCR, Luciferase reporter assay etc",32319544,5,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCAR4,Prostate Cancer,up-regulated,"qPCR, Luciferase reporter assay, in vitro knockdown, etc.",30513511,5,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCYRN1,Cervical Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.",29552212,1,BC200; BC200a; LINC00004; NCRNA00004
BCYRN1,Gastric Cancer,up-regulated,"qPCR, Luciferase reporter assay, in vitro knockdown",31652309,1,BC200; BC200a; LINC00004; NCRNA00004
BCYRN1,Gastric Cancer,up-regulated,"qPCR, Western blot",29435146,1,BC200; BC200a; LINC00004; NCRNA00004
BCYRN1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown, etc.",30486938,1,"brain cytoplasmic RNA 1;BC200;BC200a;NCRNA00004;LINC00004;brain cytoplasmic RNA 200-alpha;non-protein coding RNA 4;long intergenic non-protein coding RNA 4;brain cytoplasmic RNA 1, Bc1 analog (mouse);brain cytoplasmic RNA 1 (non-protein coding);BC200-alpha;brain cytoplasmic RNA 1 (analog of mouse Bc1);brain cytoplasmic RNA 1, Bc1 analog;NONHSAG027692.2;lnc-EPCAM-8;HSALNG0141597"
BCYRN1,Non Small Cell Lung Cancer,up-regulated,"qPCR, RNAi, Western blot, Cell migration and invasion assay etc.",25866480,1,"brain cytoplasmic RNA 1;BC200;BC200a;NCRNA00004;LINC00004;brain cytoplasmic RNA 200-alpha;non-protein coding RNA 4;long intergenic non-protein coding RNA 4;brain cytoplasmic RNA 1, Bc1 analog (mouse);brain cytoplasmic RNA 1 (non-protein coding);BC200-alpha;brain cytoplasmic RNA 1 (analog of mouse Bc1);brain cytoplasmic RNA 1, Bc1 analog;NONHSAG027692.2;lnc-EPCAM-8;HSALNG0141597"
BCYRN1,Hepatocellular Carcinoma,up-regulated,"qRT-PCR, Dual luciferase reporter assay, Western bolt",31920461,1,BC200; BC200a; LINC00004; NCRNA00004
BCYRN1,Hepatocellular Carcinoma,up-regulated,qPCR,31339046,1,BC200; BC200a; LINC00004; NCRNA00004
BDNF-AS,Colorectal Cancer,down-regulated,"qRT-PCR, Western blotting, RIP etc.",31062382,5,BDNF; BDNFAS; BDNFOS; BDNF-AS1; ANTI-BDNF; NCRNA00049
BDNF-AS,Prostate Cancer,down-regulated,"qPCR, in vitro knockdown etc.",29710528,5,BDNF; BDNFAS; BDNFOS; BDNF-AS1; ANTI-BDNF; NCRNA00049
BLACAT1,Cervical Squamous Cell Carcinoma,up-regulated,RT-PCR,32046460,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT1,Cervical Cancer,up-regulated,"qPCR, Western blot",29863244,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT1,Cervical Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown",29456724,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT1,Cervical Cancer,up-regulated,"qPCR, RNAi, Western blot etc.",29863244,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT1,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.",29710482,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT1,Head And Neck Squamous Cell Carcinoma,up-regulated,"qRT-PCR, Western blot",31944856,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT1,Oral Squamous Cell Carcinoma,up-regulated,"qRT-PCR, Luciferase Reporter Assay, Western blot Assay",31841186,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT1,Non Small Cell Lung Cancer,up-regulated,"RT-qPCR, RNAi, RIP, Western blot, other",30387831,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT1,Small Cell Lung Cancer,up-regulated,"qPCR, other",30203450,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown",31359792,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay etc.",28885863,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT1,Hepatocellular Carcinoma,up-regulated,"qRT-PCR , Luciferase reporter assay  etc.",31174090,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT1,Prostate Cancer,down-regulated,"RT-PCR, Western blotting, Luciferase Assays, RIP",31957820,1,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT2,Gastric Cancer,up-regulated,qPCR etc,32194743,1 (LINC00958),BLACAT2
"BLACAT2",Colorectal Cancer,up-regulated,"qPCR, other",31423277,1,BLACAT2; LINC00958
"BLACAT2",Pancreatic Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP, etc.",30639194,1,BLACAT2; LINC00958
BNC2-AS1,Gastric Cancer,up-regulated,"qPCR, RNAi, etc.",30549996,1,BNC2 antisense RNA 1;RP11-62F24.2;NONHSAG051833.2;BNC2-AS1;HSALNG0070213
"BRE-AS1 ",Prostate Cancer,down-regulated,qPCR,30833361,1,BRE-AS1; BABAM2-AS1
BRE-AS1 (BABAM2-AS1),Non Small Cell Lung Cancer,down-regulated,"qPCR, Western blot, RIP, RNAi, other",30227111,1,BRE-AS1
"BZRAP1-AS1 ",Hepatocellular Carcinoma,up-regulated,"RT-qPCR, Western blot analysis, RIP, Dual luciferase reporter gene assay",31847842,9,BZRAP1-AS1; TSPOAP1-AS1
"C10orf91 ",Hepatocellular Carcinoma,up-regulated,RNA-seq,30916406,1,C10orf91; LINC02870
"C17orf91",Ovarian Cancer,up-regulated,"qPCR, RNAi, Western blot, Cell migration and invasion assay etc.",27535740,4,C17orf91; MIR22HG
C1QTNF1-AS1,Hepatocellular Carcinoma,down-regulated,"qRT-PCR , Luciferase reporter assay , Western blot etc.",31069760,2,C1QTNF1 antisense RNA 1;HSALNG0119089;C1QTNF1-AS1
C1QTNF1-AS1,Hepatocellular Carcinoma,down-regulated,"qPCR, Western blot",31222560,2,C1QTNF1 antisense RNA 1;HSALNG0119089;C1QTNF1-AS1
"C20orf200",Colon Cancer,down-regulated,"Microarray, qPCR, RNA pull-down assay etc.",27821766,1,CARMA; C20orf200; NCRNA00335; MIR1-1HG-AS1; C20orf166-AS1; MIR1-1HG-AS1
C21orF96,Gastric Cancer,up-regulated,"Microarray, qPCR etc.",26567621,1,C21orf96
C5orf66-AS1,Cervical Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP, etc.",30518760,2,C5orf66-AS1
C5orf66-AS1,Gastric Cancer,down-regulated,qPCR etc.,32308414,2,C5orf66-AS1
C5orf66-AS1,Gastric Cardia Cancer,down-regulated,"qPCR, Luciferase reporter assay etc.",29566283,2,C5orf66-AS1
C5orf66-AS1,Oral Squamous Cell Carcinoma,down-regulated,"qPCR, Western blot, other",30280186,2,C5orf66-AS1
C5orf66-AS1,Oral Squamous Cell Carcinoma,differential expression,qPCR,28415559,2,C5orf66-AS1
CA3-AS1,Colorectal Cancer,up-regulated,"RT-PCR, Western blot, Luciferase reporter assay, other",30415006,4,CA3 antisense RNA 1;CA3-AS1;NONHSAG050661.2;HSALNG0066709
CACNA1G-AS1,Colorectal Cancer,up-regulated,"qRT-PCR, Western blot, RIP",31957825,1,CAS1
CACNA1G-AS1,Non Small Cell Lung Cancer,up-regulated,"qRT-PCR, Western blot, in vitro knockdown",29509247,1,CAS1
CACNA1G-AS1,Hepatocellular Carcinoma,up-regulated,qPCR,30908634,1,CAS1
CACS15,Ovarian Cancer,up-regulated,"qRT-PCR, Western blot",31737207,1,CANT; LINC00340; lnc-SOX4-1; CASC15
CACS15,Ovarian Cancer,down-regulated,"RT-qPCR, Dual Luciferase Reporter Assay, Western blot analysis",31695430,1,CANT; LINC00340; lnc-SOX4-1; CASC15
CACS15,Oral Squamous Cell Carcinoma,up-regulated,qPCR etc.,31793142,1,CANT; LINC00340; lnc-SOX4-1
"CACS15",Colorectal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",30639170,1,CANT; LINC00340; lnc-SOX4-1; CASC15
CAHM,Colorectal Cancer,down-regulated,"qPCR, MSP-PCR etc.",24799664,1,LINC00468
"CALIC",Colon Cancer,up-regulated,"RNA-seq, qPCR, RIP",31353791,1,CALIC; LINC00920
CALML3-AS1,Cervical Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay",31298313,2,CALML3 antisense RNA 1;CALML3-AS1;NONHSAG005097.2;NONHSAG005099.2;HSALNG0075870;HSALNG0075871;HSALNG0075868
CARLo-5,Gastric Cancer,up-regulated,qPCR etc.,28239816,1,CARLO5; CARLo-5; onco-lncRNA-40
"CARLo-5 ",Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, RIP, ChIP etc.",29050269,1,CARLO5; CARLo-5; onco-lncRNA-40; CCAT1
CASC11,Colorectal Cancer,up-regulated,"qPCR, RNAi, Western blot, RIP, Luciferase reporter assay, Flow cytometry assay, Cell proliferation assay etc.",27012187,2,MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535
CASC11,Cervical Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay",31255182,2,MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535
CASC11,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, other",30200804,2,MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535
CASC11,Small Cell Lung Cancer,up-regulated,"qPCR, Western blot",30965130,2,MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535
CASC11,Lung Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay",31378894,2,MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535
CASC11,Hepatocellular Carcinoma,up-regulated,qPCR etc,32194694,2,MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535
CASC11,Hepatocellular Carcinoma,up-regulated,qPCR,30910841,2,MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535
CASC11,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP, etc.",30503497,2,MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535
CASC15,Cervical Cancer,up-regulated,"RT-qPCR, RIP",32016962,1,CANT; LINC00340; lnc-SOX4-1
CASC15,Cervical Cancer,up-regulated,qPCR,30720157,1,CANT; LINC00340; lnc-SOX4-1
CASC15,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",29956772,1,CANT; LINC00340; lnc-SOX4-1
CASC15,Gastric Cancer,up-regulated,"qPCR, Microarray",29272000,1,CANT; LINC00340; lnc-SOX4-1
CASC15,Gastric Cancer,up-regulated,"RNA-seq, RT-PCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP",29489064,1,CANT; LINC00340; lnc-SOX4-1
CASC15,Non Small Cell Lung Cancer,up-regulated,"qRT-PCR , Luciferase reporter assay , in vitro knockdown etc.",31599419,1,CANT; LINC00340; lnc-SOX4-1
CASC15,Non Small Cell Lung Cancer,up-regulated,"Microarray, qPCR, Western blot, in vitro knockdown",31396336,1,CANT; LINC00340; lnc-SOX4-1
CASC15,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, in vitro knockdown",29075788,1,CANT; LINC00340; lnc-SOX4-1
CASC15,Prostate Cancer,up-regulated,"qPCR, Luciferase reporter assay, in vitro knockdown",31646560,1,CANT; LINC00340; lnc-SOX4-1
CASC19,Colorectal Cancer,up-regulated,"qRT-PCR , Luciferase reporter assay , Western blot , RIP , in vitro knockdown etc.",31011255,1,CARLO6; CARLo-6; LINC01245
CASC19,Colorectal Cancer,up-regulated,qPCR,29338818,1,CARLO6; CARLo-6; LINC01245
